,0,1
0,排名,学校英文名
1,1,Massachusetts Institute of Technology (MIT)
2,2,Stanford University
3,3,Harvard University
4,4,California Institute of Technology (Caltech)
5,5,University of Cambridge
6,6,University of Oxford
7,7,UCL (University College London)
8,8,Imperial College London
9,9,University of Chicago
10,10,ETH Zurich - Swiss Federal Institute of Technology
11,11,"Nanyang Technological University, Singapore (NTU)"
12,12,Ecole Polytechnique Fédérale de Lausanne (EPFL)
13,13,Princeton University
14,14,Cornell University
15,15,National University of Singapore (NUS)
16,16,Yale University
17,17,Johns Hopkins University
18,18,Columbia University
19,19,University of Pennsylvania
20,20,The Australian National University
21,21,Duke University
22,21,University of Michigan
23,23,King's College London
24,23,The University of Edinburgh
25,25,Tsinghua University
26,26,The University of Hong Kong
27,27,
28,28,Northwestern University
29,28,The University of Tokyo
30,30,The Hong Kong University of Science and Technology
31,31,University of Toronto
32,32,McGill University
33,33,"University of California, Los Angeles (UCLA)"
34,34,The University of Manchester
35,35,London School of Economics and Political Science (LSE)
36,36,Kyoto University
37,36,Seoul National University
38,38,Peking University
39,38,"University of California, San Diego (UCSD)"
40,40,Fudan University
41,41,The University of Melbourne
42,41,KAIST - Korea Advanced Institute of Science & Technology
43,43,"Ecole normale supérieure, Paris"
44,44,University of Bristol
45,45,The University of New South Wales (UNSW Sydney)
46,46,The Chinese University of Hong Kong (CUHK)
47,47,Carnegie Mellon University
48,47,The University of Queensland
49,49,City University of Hong Kong
50,50,The University of Sydney
51,51,University of British Columbia
52,52,New York University (NYU)
53,53,Brown University
54,54,Delft University of Technology
55,55,University of Wisconsin-Madison
56,56,Tokyo Institute of Technology
57,57,The University of Warwick
58,58,University of Amsterdam
59,59,Ecole Polytechnique
60,60,Monash University
61,61,University of Washington
62,62,Shanghai Jiao Tong University
63,63,Osaka University
64,64,Technical University of Munich
65,65,University of Glasgow
66,66,Ludwig-Maximilians-Universität München
67,67,University of Texas at Austin
68,68,Ruprecht-Karls-Universitaet Heidelberg
69,69,University of Illinois at Urbana-Champaign
70,70,Georgia Institute of Technology
71,71,KU Leuven
